,source,title,content,description,url,published_at,tags
0,France 24,ماهي أهم النقاط في جولة الحوار الجديدة؟,,"
                                                  التقى الرئيس المصري عبد الفتاح السيسي مدير وكالة الاستخبارات المركزية الأمريكية وليام بيرنز في القاهرة، حيث بحث وفدان أميركي وإسرائيلي في الجهود المبذولة للتوصل إلى هدنة في قطاع غزة.                     ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240710-%D8%BA%D8%B2%D8%A9-%D9%85%D8%A7%D9%87%D9%8A-%D8%A3%D9%87%D9%85-%D8%A7%D9%84%D9%86%D9%82%D8%A7%D8%B7-%D9%81%D9%8A-%D8%AC%D9%88%D9%84%D8%A9-%D8%A7%D9%84%D8%AD%D9%88%D8%A7%D8%B1-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9,10/07/2024 - 10:11,
1,France 24,روسيا تصدر مذكرة توقيف بحق المعارضة في المنفى يوليا نافالنايا أرملة الراحل نافالني,"
بتهمة الانتماء إلى ""جماعة متطرفة""، أصدرت محكمة روسية مذكرة توقيف بحق يوليا نافالنايا، أرملة المعارض أليكسي نافالني، الذي توفي في السجن في شباط/ فبراير الماضي.
وأفادت محكمة باسماني في موسكو عبر تلغرام، بأن نافالنايا تهربت من التحقيق الأولي، وأدرجت ضمن قائمة المطلوبين. كما أمرت المحكمة بوضعها في الحبس الاحترازي غيابيا.
وفي تغريدة عبر إكس، علقت نافالنايا قائلة: ""فلاديمير بوتين قاتل ومجرم حرب. مكانه في السجن"".
وكانت قد تعهدت بمواصلة نضال زوجها المعارض الأبرز لبوتين، داعية أنصاره إلى عدم فقدان الأمل، ومنددة باستمرار بالسلطات الروسية ومصير المعارضين.
ألمانيا، حيث تقيم نافالنايا، اعتبرت مذكرة التوقيف مخالفة للديمقراطية، حيث صرح المستشار أولاف شولتس بأنها ""مذكرة توقيف ضد رغبة الحرية والديمقراطية"".
وكانت روسيا قد صنفت منظمات نافالني كـ""متطرفة""، وحظرتها في عام 2021، مع الحكم على عدد من معاونيه بالسجن.
وسخر ليونيد فولكوف، أحد معاوني نافالني المقيم في المنفى، من قرار القضاء الروسي، ووصفه بأنه ""اعتراف جميل بتصميم يوليا على مواصلة نضال أليكسي"".
وتشهد روسيا قمعا شديدا ضد المعارضين، ما أدى إلى سجن أو نفي العديد منهم. كما أوقف آلاف المواطنين لمشاركتهم في احتجاجات أو انتقادهم للهجوم على أوكرانيا، وحكم عليهم بعقوبات قاسية.","
                                        أعلنت روسيا عن إصدار مذكرة توقيف بحق يوليا نافالنايا، أرملة أليكسي نافالني الذي توفي في السجن في شباط/ فبراير الماضي، متهمة إياها بالانتماء إلى ""جماعة متطرفة"". ووفقا لمحكمة موسكو عبر تلغرام، تهربت نافالنايا من التحقيقات، ما أدى إلى إدراجها ضمن قائمة المطلوبين، وإصدار أمر بوضعها في الحبس الاحترازي غيابيا. نددت نافالنايا بالقرار عبر إكس، واصفة الرئيس الروسي فلاديمير بوتين بأنه ""قاتل ومجرم حرب"".                ",https://www.france24.com/ar/%D8%A2%D8%B3%D9%8A%D8%A7/20240710-%D8%B1%D9%88%D8%B3%D9%8A%D8%A7-%D8%AA%D8%B5%D8%AF%D8%B1-%D9%85%D8%B0%D9%83%D8%B1%D8%A9-%D8%AA%D9%88%D9%82%D9%8A%D9%81-%D8%A8%D8%AD%D9%82-%D8%B2%D8%B9%D9%8A%D9%85%D8%A9-%D8%A7%D9%84%D9%85%D8%B9%D8%A7%D8%B1%D8%B6%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%85%D9%86%D9%81%D9%89-%D9%8A%D9%88%D9%84%D9%8A%D8%A7-%D9%86%D8%A7%D9%81%D8%A7%D9%84%D9%86%D8%A7%D9%8A%D8%A7-%D8%A3%D8%B1%D9%85%D9%84%D8%A9-%D8%A7%D9%84%D8%B1%D8%A7%D8%AD%D9%84-%D9%86%D8%A7%D9%81%D8%A7%D9%84%D9%86%D9%8A,10/07/2024 - 03:09,"

                                    آسيا
                            "
2,France 24,فرنسا: شخصيات في صفوف تحالف اليسار الفائز بالانتخابات مرشحة لتولي رئاسة الحكومة,,"
                                                من المنتظر أن يعلن التحالف اليساري الذي فاز في الانتخابات التشريعية الفرنسية عن مرشحه لتولي منصب رئيس الحكومة نهاية الأسبوع أو الأسبوع المقبل. ومن بين أبرز الأسماء المرشحة لخلافة غابريال أتال الذي دعاه ماكرون للبقاء في منصبه بعد تقديمه استقالته، كل من رئيس الحزب الاشتراكي أوليفييه فور، والنائبة عن حزب فرنسا الأبية كليمانس غيتي وكذا كليمنتين أوتان المنشقة عن أقصى اليسار، وزعيمة المدافعين عن البيئة مارين تونديلييه.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240709-%D8%AA%D8%AD%D8%A7%D9%84%D9%81-%D8%A7%D9%84%D9%8A%D8%B3%D8%A7%D8%B1-%D9%8A%D8%AD%D8%B0%D8%B1-%D9%85%D8%A7%D9%83%D8%B1%D9%88%D9%86-%D9%85%D9%86-%D8%AE%D8%B7%D9%88%D8%B1%D8%A9-%D8%A7%D9%84%D8%A5%D8%A8%D9%82%D8%A7%D8%A1-%D8%B9%D9%84%D9%89-%D8%A3%D8%AA%D8%A7%D9%84-%D8%B1%D8%A6%D9%8A%D8%B3%D8%A7-%D9%84%D9%84%D8%AD%D9%83%D9%88%D9%85%D8%A9,10/07/2024 - 00:10,
3,France 24,"وزير الداخلية الليبي: 70 إلى 80% من الأجانب في ليبيا ""غير نظاميين""",,"
                                                70 إلى 80% من الأجانب في ليبيا ""غير نظاميين"" (وزير الداخلية)                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240710-%D9%84%D9%8A%D8%A8%D9%8A%D8%A7,10/07/2024 - 22:14,"

                                    الأخبار المغاربية
                            "
4,France 24,ليبيا.. معمل يستخدم جوارب نسائية في تحضير الجبنة!,,"
                                                تستعرض هذه الحلقة من برنامج ""باب الويب"" العناوين التالية: معمل يستخدم جوارب نسائية في تحضير الجبنة في ليبيا. محمد رمضان يصفع أحد معجبيه ويثير ضجة في مصر. شاب يعثر على قرد في حمام منزله في السعودية. دبي تكشف عن مخطط لتطوير شاطئ جبل علي . موقف إنساني لمواطن مع سائقي توصيل الطعام في قطر.                     ",https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%A8%D8%A7%D8%A8-%D8%A7%D9%84%D9%88%D9%8A%D8%A8/20240710-%D9%84%D9%8A%D8%A8%D9%8A%D8%A7-%D9%85%D8%B9%D9%85%D9%84-%D9%8A%D8%B3%D8%AA%D8%AE%D8%AF%D9%85-%D8%AC%D9%88%D8%A7%D8%B1%D8%A8-%D9%86%D8%B3%D8%A7%D8%A6%D9%8A%D8%A9-%D9%81%D9%8A-%D8%AA%D8%AD%D8%B6%D9%8A%D8%B1-%D8%A7%D9%84%D8%AC%D8%A8%D9%86%D8%A9,10/07/2024 - 11:54,"

                                    مجتمع
                            "
5,France 24,محكمة سعودية تقضي بالسجن 20 عاما على مواطن بسبب منشورات على مواقع التواصل الاجتماعي,"
حكم على المواطن السعودي أسعد الغامدي، البالغ من العمر 47 عاما، من قبل المحكمة الجزائية المتخصصة في المملكة التي تأسست للنظر في قضايا الإرهاب. تم اعتقاله في تشرين الثاني/نوفمبر 2022 من منزله في جدة، وتمت إدانته في أيار/مايو الماضي. تعزى التهم الموجهة إليه إلى منشورات على تويتر تنتقد برامج ولي العهد محمد بن سلمان، بما في ذلك ""رؤية 2030"" لتنويع الاقتصاد.
أصدرت محكمة سعودية حكما بالسجن 20 سنة على المواطن السعودي أسعد الغامدي، وفقا لما ذكرته منظمة هيومن رايتس ووتش وأحد أشقائه. وتعزى هذه الإدانة إلى نشاطه السلمي على وسائل التواصل الاجتماعي.
يذكر أن شقيقه محمد الغامدي حكم عليه بالإعدام العام الماضي بتهم تتعلق بتنديده بالفساد وانتهاكات حقوق الإنسان في المملكة.
وذكرت هيومن رايتس ووتش أن الاتهامات الموجهة إليه شملت ""وصف الملك وولي العهد بوصف يطعن في الدين والعدالة""، بالإضافة إلى ""نشر أخبار وإشاعات كاذبة ومغرضة"".
وتشير وثائق المحكمة إلى أن الغامدي اعتقل بسبب منشورات على تويتر تعتبر ضارة بأمن الوطن، وخصوصا التي تنتقد مشاريع مرتبطة بـ""رؤية 2030""، برنامج ولي العهد محمد بن سلمان لتنويع اقتصاد البلاد.
وأوضحت جوي شيا، الباحثة المختصة بالشأن السعودي في هيومن رايتس ووتش، أن المحاكم السعودية تصدر أحكاما قاسية تصل إلى عشرات السنين على مواطنين عاديين لمجرد تعبيرهم السلمي عن أنفسهم على الإنترنت.
ودعت شيا الحكومة السعودية إلى التوقف عن معاقبة أفراد عائلات المنتقدين الذين يعيشون في الخارج.
ويمكن لأسعد الغامدي استئناف الحكم، وفقا لما قاله شقيقه سعيد الغامدي، الذي وصف الحكم بـ ""الظالم"" و""التعسفي"".
وتأتي هذه الحادثة في سياق سلسلة من الأحكام المشددة التي أصدرتها المحاكم السعودية ضد مواطنين عبروا عن آرائهم عبر وسائل التواصل الاجتماعي.
من بين هؤلاء، نورة القحطاني التي حكم عليها بالسجن 45 عاما لاستخدامها تويتر، وطالبة الدكتوراه في جامعة ليدز البريطانية، سلمى الشهاب، التي حكم عليها بالسجن 27 عاما بعد تخفيض الحكم من 34 عاما.
كذلك، الناشطة النسوية مناهل العتيبي، المعروفة بآرائها الليبرالية ومعارضتها للقوانين المتعلقة بالمرأة، حكم عليها بالسجن 11 سنة بتهم مرتبطة ""بالإرهاب"".","
                                        أصدرت محكمة سعودية حكما قاسيا بالسجن لمدة 20 عاما على المواطن السعودي أسعد الغامدي، بسبب نشاطه السلمي على مواقع التواصل الاجتماعي، وفقا لمنظمة هيومن رايتس ووتش. يذكر أن شقيقه محمد الغامدي أيضا يواجه حكما بالإعدام لتنديده بالفساد وانتهاكات حقوق الإنسان. تبرز هذه الأحكام المخاوف المتزايدة بشأن قمع الحريات وحقوق الإنسان في المملكة.                ",https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20240709-%D9%85%D8%AD%D9%83%D9%85%D8%A9-%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-%D8%AA%D9%82%D8%B6%D9%8A-%D8%A8%D8%A7%D9%84%D8%B3%D8%AC%D9%86-20-%D8%B9%D8%A7%D9%85%D8%A7-%D8%B9%D9%84%D9%89-%D9%85%D9%88%D8%A7%D8%B7%D9%86-%D8%A8%D8%B3%D8%A8%D8%A8-%D9%85%D9%86%D8%B4%D9%88%D8%B1%D8%A7%D8%AA-%D8%B9%D9%84%D9%89-%D9%85%D9%88%D8%A7%D9%82%D8%B9-%D8%A7%D9%84%D8%AA%D9%88%D8%A7%D8%B5%D9%84-%D8%A7%D9%84%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%D9%8A,10/07/2024 - 01:44,"

                                    الشرق الأوسط
                            "
6,France 24,"حلف شمال الأطلسي يبدأ إرسال مقاتلات ""إف-16"" إلى أوكرانيا لتعزيز دفاعاتها العسكرية ضد روسيا","
بدأت دول حلف شمال الأطلسي ""ناتو"" الأربعاء بإرسال مقاتلات ""إف-16"" موعودٍ بها إلى كييف، التي تطالب بتعزيز دفاعاتها العسكرية ضد روسيا، حسب ما أعلنه وزير الخارجية الأمريكي أنتوني بلينكن. وقال رئيس الدبلوماسية الأمريكية خلال قمة للناتو في واشنطن أنه ""يجري في هذه اللحظات إرسال مقاتلات ’إف-16‘ من الدانمارك وهولندا"".
وخلال هذه القمة، أعلنت كل من الولايات المتحدة وألمانيا ورومانيا وهولندا، في بيان مشترك، أنها ستزود أوكرانيا بمنظومة صواريخ باتريوت للدفاع الجوي.
وقال الرئيس الأمريكي جو بايدن، إن هذه ""الهبة التاريخية"" التي تشمل نظام باتريوت أمريكيا تأتي ضمن جهود حلف الأطلسي لحماية أوكرانيا من الهجمات الجوية الروسية.
وكانت ألمانيا ورومانيا قد أعلنتا سابقا عن نيتهما تقديم منظومات باتريوت لأوكرانيا، كما أعلنت هولندا عن جهود لتجميع نظام مماثل لتقديمه لكييف.
من جانبها، أعلنت روما أنها ستزود كييف بمنظومة صواريخ دفاعية من نوع ""سامب/تي"" الفرنسي-الإيطالي بدلا من باتريوت.
ويعد النظام الجديد المقدم من واشنطن هو بطارية باتريوت، في حين تم الإعلان عن البطاريات الأربع الأخرى (ثلاث بطاريات باتريوت وبطارية سامب/تي) سابقا.
وخلال خطاب ألقاه في القمة التي استضافتها واشنطن بمناسبة مرور 75 عاما على تأسيس الحلف، أكد بايدن بنبرة حاسمة أن ""روسيا لن تنتصر"".
ومن جهته، قال الأمين العام لحلف شمال الأطلسي، ينس ستولتنبرغ، أمام القمة، إن الحلف كان نتيجة خيارات متعمدة وقرارات صعبة، مشيرا إلى أن دعم أوكرانيا يتطلب تكاليف ومخاطر، وأن وجود روسيا عدوانية كجارة لا يترك مجالا لخيارات خالية من المخاطر.
وأضاف: ""تذكروا، التكلفة الأكبر والخطر الأكبر سيكونان إذا انتصرت روسيا في أوكرانيا. لا يمكننا أن نسمح بحدوث ذلك"".
وأكد ستولتنبرغ أن نتيجة هذه الحرب ستؤثر على الأمن العالمي لعقود مقبلة، مشيرا إلى أن الوقت الآن هو للدفاع عن الحرية والديمقراطية، والمكان هو أوكرانيا.
هذا، وأكد دبلوماسيون توافق الدول الأعضاء في حلف شمال الأطلسي خلال القمة على الإقرار بأن أوكرانيا تسلك ""طريقا لا عودة عنه"" نحو انضمامها إلى الحلف.
وفي بيان مشترك وضعت عليه اللمسات الأخيرة لكنه لا يزال يتطلب موافقة قادة الاطلسي، قالت الدول الـ32 ""نواصل دعم (أوكرانيا) في مسارها الذي لا عودة عنه نحو اندماج يورو-متوسطي كامل، يشمل انضماما إلى حلف شمال الأطلسي""، وفق المصادر نفسها.
","
                                        ""يجري في هذه اللحظات إرسال مقاتلات ’إف-16‘ من الدانمارك وهولندا"" إلى أوكرانيا بعد أن كانت كييف قد تلقت وعودا بذلك، وفق ما أعلنه وزير الخارجية الأمريكي أنتوني بلينكن الأربعاء في إطار الدعم العسكري الذي يقدمه حلف شمال الأطلسي لكييف، التي تطالب بتعزيز دفاعاتها ضد روسيا. في حين أكد دبلوماسيون توافق الدول الأعضاء في الحلف خلال قمته المنعقدة بواشنطن الأربعاء على الإقرار بأن أوكرانيا تسلك ""طريقا لا عودة عنه"" نحو انضمامها إلى حلف شمال الأطلسي.                ",https://www.france24.com/ar/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20240710-%D8%AD%D9%84%D9%81-%D8%B4%D9%85%D8%A7%D9%84-%D8%A7%D9%84%D8%A3%D8%B7%D9%84%D8%B3%D9%8A-%D9%85%D9%82%D8%A7%D8%AA%D9%84%D8%A7%D8%AA-%D8%A5%D9%81-16-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7-%D9%87%D9%88%D9%84%D9%86%D8%AF%D8%A7-%D8%A7%D9%84%D8%AF%D8%A7%D9%86%D9%85%D8%A7%D8%B1%D9%83-%D8%B1%D9%88%D8%B3%D9%8A%D8%A7,10/07/2024 - 16:30,"

                                    أوروبا
                            "
7,France 24,"فضاء: رحلة المركبة ""آريان6"" الأولى تتكلل بالنجاح",,"
                                                وضعت المركبة ""آريان 6"" في المدار الثلاثاء الأقمار الاصطناعية الصغيرة التي حملتها إلى الفضاء بعد ساعة وست دقائق من إقلاعها من مركز كورو الفضائي في غويانا الفرنسية، لتتكلّل بالنجاح الرحلة الأولى للصاروخ الأوروبي.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240710-%D9%81%D8%B6%D8%A7%D8%A1-%D8%B1%D8%AD%D9%84%D8%A9-%D8%A2%D8%B1%D9%8A%D8%A7%D9%866-%D8%A7%D9%84%D8%A5%D9%88%D9%84%D9%89-%D8%AA%D8%AA%D9%83%D9%84%D9%84-%D8%A8%D8%A7%D9%84%D9%86%D8%AC%D8%A7%D8%AD,10/07/2024 - 13:54,
8,France 24,علاقات إيران بمحيطها العربي: ما هامش المناورة أمام الرئيس الإصلاحي إزاء نفوذ الحرس الثوري؟,,"
                                                في  صدى المشرق نتحدث عن رسالة الدعم التي وجهها الرئيس الايراني الاصلاحي مسعود بيزشكيان لأمين عام حزب الله حسن نصر الله بعد ساعات فقط من تأديته اليمين الدستورية، أكد فيها على دعمه بمواجهة إسرائيل كما أكد على أن نهج الدفاع عن المقاومة متجذر في السياسات المبدئية لنظام الجمهورية الإسلامية الإيرانية. فهل تبقى سياسة إيران الخارجية على حالها رغم تعويل الكثيرين على علاقات أكثر انفتاحا مع الغرب في ظل عهد إصلاحي. ضيف الحلقة: رئيس المنتدى العربي لتحليل السياسات الإيرانية محمد محسن أبو النور.                    ",https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%B5%D8%AF%D9%89-%D8%A7%D9%84%D9%85%D8%B4%D8%B1%D9%82/20240710-%D8%B9%D9%84%D8%A7%D9%82%D8%A7%D8%AA-%D8%A5%D9%8A%D8%B1%D8%A7%D9%86-%D8%A8%D9%85%D8%AD%D9%8A%D8%B7%D9%87%D8%A7-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A-%D9%85%D8%A7-%D9%87%D8%A7%D9%85%D8%B4-%D8%A7%D9%84%D9%85%D9%86%D8%A7%D9%88%D8%B1%D8%A9-%D8%A3%D9%85%D8%A7%D9%85-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3-%D8%A7%D9%84%D8%A5%D8%B5%D9%84%D8%A7%D8%AD%D9%8A-%D8%A5%D8%B2%D8%A7%D8%A1-%D9%86%D9%81%D9%88%D8%B0-%D8%A7%D9%84%D8%AD%D8%B1%D8%B3-%D8%A7%D9%84%D8%AB%D9%88%D8%B1%D9%8A,10/07/2024 - 12:45,"

                                    الشرق الأوسط
                            "
9,France 24,ويمبلدون : حامل اللقب كارلوس ألكاراز يتأهل لنصف النهائي,,"
                                                 فاز الإسباني كارلوس ألكاراز على الأمريكي تومي بول الثلاثاء، في دور الثمانية ببطولة ويمبلدون للتنس ليقطع خطوة جديدة نحوالدفاع عن لقبه. وقال ألكاراز في مقابلة على جانب الملعب ""لقد كان بول يلعب بصورة رائعة على الملاعب العشبية. لقد فاز ببطولة كوينز (الشهر الماضي)، كان يقوم بأمور رائعة في ويمبلدون بتغلبه على أبرز اللاعبين. كانت مباراة صعبة جدا جدا بالنسبة لي                     ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240710-%D9%88%D9%85%D8%A8%D9%84%D8%AF%D9%88%D9%86-%D8%AD%D8%A7%D9%85%D9%84-%D8%A7%D9%84%D9%84%D9%82%D8%A8-%D9%83%D8%A7%D8%B1%D9%84%D9%88%D8%B3-%D8%A3%D9%84%D9%83%D8%A7%D8%B1%D8%A7%D8%B2-%D9%8A%D8%AA%D8%A3%D9%87%D9%84-%D9%84%D9%84%D8%AF%D9%88%D8%B1-%D8%A7%D9%84%D9%86%D9%87%D8%A7%D8%A6%D9%8A,10/07/2024 - 10:49,
10,France 24,ليبيا: من يقتل المهاجرين ويدفنهم في مقابر جماعية؟,,"
                                                يتوقف حكيم بالطيفة في فقرة وجها لوجه عند قول مفوض الأمم المتحدة السامي لحقوق الإنسان إن مكتبه ينظر في تقارير عن اكتشاف مقبرة جماعية في الصحراء على الحدود الليبية التونسية، بعد العثور على جثث 65 مهاجرا على الأقل في موقع آخر في وقت سابق من هذا العام، مع ضيفيّ من طرابلس: السيد أحمد حمزة رئيس المؤسسة الوطنية لحقوق الإنسان بليبيا، والدكتور ناصر أبو ديب الأمين العام لحزب ليبيا الأمة.                     ",https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D9%88%D8%AC%D9%87%D8%A7-%D9%84%D9%88%D8%AC%D9%87/20240710-%D9%84%D9%8A%D8%A8%D9%8A%D8%A7-%D9%85%D9%86-%D9%8A%D9%82%D8%AA%D9%84-%D8%A7%D9%84%D9%85%D9%87%D8%A7%D8%AC%D8%B1%D9%8A%D9%86-%D9%88%D9%8A%D8%AF%D9%81%D9%86%D9%87%D9%85-%D9%81%D9%8A-%D9%85%D9%82%D8%A7%D8%A8%D8%B1-%D8%AC%D9%85%D8%A7%D8%B9%D9%8A%D8%A9,10/07/2024 - 22:23,"

                                    الأخبار المغاربية
                            "
11,France 24,فرنسا: توجيه عدة تهم لزوجة ساركوزي ووضعها تحت المراقبة في قضية التمويل الليبي,"
أعلن مصدر قضائي أن القضاء الفرنسي وجه عدة تهم إلى كارلا بروني-ساركوزي، زوجة الرئيس الأسبق نيكولا ساركوزي، وذلك في ختام جلسة استجواب الثلاثاء في قضية التمويل الليبي للحملة الانتخابية لزوجها في 2007.
كما أوضح نفس المصدر بأن المغنية وعارضة الأزياء السابقة (56 عاما) مثُلت أمام قاضيي تحقيق ماليين استجوباها طوال ساعتين وقررا في نهاية الجلسة توجيه تهم عدة إليها، من بينها ""إخفاء أدلة"" و""الاشتراك في عصابة أشرار بقصد ارتكاب جرائم احتيال"".
وتابع بأن القاضيين أمرا كذلك بوضعها تحت المراقبة القضائية ومنعها من الاتصال بجميع المتهمين في هذه القضية باستثناء زوجها.
وتُتهم بروني-ساركوزي بشكل خاص بمحاولة إخفاء التلاعب بشاهد الإثبات الرئيسي في هذه القضية زياد تقي الدين الذي تراجع فجأة عن اتهاماته لزوجها، وكذلك بمحاولة خداع القضاة المكلفين التحقيق بشبهة التمويل الليبي.
لكن لم يوجه إليها القضاء تهمة ""الاشتراك في عصبة أشرار بقصد رشوة موظفين قضائيين أجانب في لبنان""، بل اكتفى باعتبارها على هذا الصعيد ""شاهدة تحظى بمساعدة"" وهي منزلة بين منزلتي المتهمة والشاهدة.
وسبق لمحققي الدائرة المركزية لمكافحة الفساد والجرائم المالية والضريبية أن استجوبوا بروني-ساركوزي مرتين، كشاهدة في يونيو/حزيران 2023 وكمشتبه بها في بداية مايو/أيار الماضي.
تعليقا على توجيه الاتهام إلى بروني-ساركوزي، قال محاميا الدفاع عنها بول ماليه وبنوا مارتينيز إن هذا القرار ""الصادر بنفس العبارات التي صدرت بحق زوجها (...) ليس سوى متابعة منطقية للإجراءات ولا يستند إلى أي أسس سليمة، سواء من الناحية القانونية أو الواقعية"".
وأضاف المحاميان أن ""كارلا بروني-ساركوزي عازمة على تأكيد حقوقها والطعن في هذا القرار الذي لا أساس له من الصحة"".
ومن المقرر أن يحاكم ساركوزي مطلع عام 2025 بتهمتي ""التستر على اختلاس أموال عامة"" و""التمويل غير القانوني لحملة انتخابية"". وتقدم محاموه في أبريل/نيسان بطلب لإلغاء هذا الإجراء.
أما بالنسبة إلى تقي الدين الذي لجأ إلى بلده الأم لبنان لتجنب توقيفه بفرنسا، فقال بعد عودته عن اتهاماته لساركوزي إن الرئيس الفرنسي الأسبق ""لم يقبض قرشا واحدا لتمويل حملة الانتخابات الرئاسية"" في 2007.
فرانس24/ أ ف ب","
                                        وضع القضاء الفرنسي كارلا بروني زوجة الرئيس الأسبق نيكولا ساركوزي تحت المراقبة ووجه لها عددا من التهم في ختام جلسة استجواب الثلاثاء، أبرزها ""إخفاء أدلة"" و""الاشتراك في عصابة أشرار بقصد ارتكاب جرائم احتيال"" في قضية التمويل الليبي للحملة الانتخابية لزوجها عام 2007، وفق ما ذكر مصدر قضائي.                ",https://www.france24.com/ar/%D9%81%D8%B1%D9%86%D8%B3%D8%A7/20240710-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D8%AA%D9%87%D9%85-%D9%82%D8%B6%D8%A7%D8%A1-%D8%B2%D9%88%D8%AC%D8%A9-%D8%B3%D8%A7%D8%B1%D9%83%D9%88%D8%B2%D9%8A-%D8%AA%D8%AD%D8%AA-%D8%A7%D9%84%D9%85%D8%B1%D8%A7%D9%82%D8%A8%D8%A9-%D9%82%D8%B6%D9%8A%D8%A9-%D8%A7%D9%84%D8%AA%D9%85%D9%88%D9%8A%D9%84-%D8%A7%D9%84%D9%84%D9%8A%D8%A8%D9%8A,10/07/2024 - 07:56,"

                                    فرنسا
                            "
