,source,title,content,description,url,published_at,tags
0,France 24,"ممثلو الأحزاب الفرنسية يعرضون برامجهم أمام جمعية ""أرباب العمل""",,"
                                                يعرض ممثلو الاحزاب الرئيسية المشاركة في الانتخابات التشريعية في فرنسا الخميس برنامجهم أمام منظمة أرباب العمل في حين يُتهم اليسار واليمين المتطرف بالقيام بوعود مكلفة جدا.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240620-%D8%A7%D9%84%D8%A3%D8%AD%D8%B2%D8%A7%D8%A8-%D8%AA%D9%82%D8%AF%D9%85-%D8%A8%D8%B1%D8%A7%D9%85%D8%AC%D9%87%D8%A7-%D8%A3%D9%85%D8%A7%D9%85-%D8%AC%D9%85%D8%B9%D9%8A%D8%A9-%D8%A3%D8%B1%D8%A8%D8%A7%D8%A8-%D8%A7%D9%84%D8%B9%D9%85%D9%84-%D9%81%D9%8A-%D9%81%D8%B1%D9%86%D8%B3%D8%A7,20/06/2024 - 10:28,"
                                    الأخبار المغاربية
                            "
1,France 24,كأس أمم أوروبا: مشاركة مبابي غير محسومة ضد هولندا ومواجهة نارية بين إيطاليا وإسبانيا,,"
                                                يشهد دور المجموعات في كأس أوروبا 2024 في كرة القدم أقوى مبارياته على الورق الخميس في غلزنكيرشن، عندما تلتقي إيطاليا حاملة اللقب مع إسبانيا للمرة الخامسة توالياً في البطولة القارية، فيما تسعى إنكلترا الحالمة بلقب قاري أوّل إلى تحقيق فوزها الثاني عندما تلاقي الدنمارك في فرانكفورت.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240620-%D9%85%D9%88%D8%A7%D8%AC%D9%87%D8%A9-%D9%85%D8%B5%D9%8A%D8%B1%D9%8A%D8%A9-%D9%84%D9%84%D9%85%D9%86%D8%AA%D8%AE%D8%A8%D9%8A%D9%86-%D8%A7%D9%84%D9%81%D8%B1%D9%86%D8%B3%D9%8A-%D9%88%D8%A7%D9%84%D9%87%D9%88%D9%84%D9%86%D8%AF%D9%8A,20/06/2024 - 14:53,"
                                    الأخبار المغاربية
                            "
2,France 24,أحدث الابتكارات في مجال الدفاع والأمن من معرض أوروساتوري بضاحية باريس,,"
                                                فتح معرض أورو ساتوري الدولي للدفاع والأمن، الاثنين، أبوابه أمام مهنيي القطاع والخبراء والمسؤولين الحكوميين، في مركز المعارض فيلبانت في الضاحية الشمالية لباريس. المعرض يشهد هذه السنة مشاركة أكثر من ألفي عارض من  62  دولة.                    ",https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%AA%D9%83%D9%86%D9%88/20240620-%D8%A3%D8%AD%D8%AF%D8%AB-%D8%A7%D9%84%D8%A7%D8%A8%D8%AA%D9%83%D8%A7%D8%B1%D8%A7%D8%AA-%D9%81%D9%8A-%D9%85%D8%AC%D8%A7%D9%84-%D8%A7%D9%84%D8%AF%D9%81%D8%A7%D8%B9-%D9%88%D8%A7%D9%84%D8%A3%D9%85%D9%86-%D9%85%D9%86-%D9%85%D8%B9%D8%B1%D8%B6-%D8%A3%D9%88%D8%B1%D9%88%D8%B3%D8%A7%D8%AA%D9%88%D8%B1%D9%8A-%D8%A8%D8%B6%D8%A7%D8%AD%D9%8A%D8%A9-%D8%A8%D8%A7%D8%B1%D9%8A%D8%B3,20/06/2024 - 14:10,"

                                    أوروبا
                            "
3,France 24,حياة أكثر من 800 ألف سوداني معرضة للخطر وفق الأمم المتحدة,,"
                                                منذ أكثر من عام ونيف تستمر الحرب في السودان بين الجيش السوداني وقوات الدعم السريع. الأمم المتحدة تدق ناقوس الخطر حول الوضع الإنساني في السودان وتتخوف من تفشي المجاعة والأمراض. في الوقت نفسه ورغم مناشدات المجتمع الدولي ما زال طرفا النزاع بعيدين عن طاولة التفاوض.                     ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240620-chronique-international-8h-soudan,20/06/2024 - 09:38,"

                                    أفريقيا
                            "
4,France 24,عدد اللاجئين الفلسطينيين في الضفة الغربية وقطاع غزة والدول العربية يبلغ نحو 6 ملايين,"
كشف جهاز الإحصاء الفلسطيني الخميس عن وجود ما يناهز ستة ملايين لاجئ فلسطيني مسجلين لدى وكالة الأمم المتحدة لغوث وتشغيل اللاجئين الفلسطينيين (الأونروا).
وقالت نفس الهيئة في بيان بمناسبة اليوم العالمي للاجئين الذي أقرته الأمم المتحدة في 2000، إن من بين اللاجئين الفلسطينيين هناك 2.5 مليون لاجئ يعيشون في الضفة الغربية المحتلة وقطاع غزة.
وأوضح الجهاز في بيانه أن ""نسبة اللاجئين الفلسطينيين المسجلين لدى وكالة الغوث في الأردن حوالي 40 بالمئة من إجمالي اللاجئين الفلسطينيين، فيما بلغت هذه النسبة في لبنان وسوريا حوالي ثمانية بالمئة وعشرة بالمئة على التوالي"".

وأضاف البيان: ""تمثل هذه التقديرات الحد الأدنى لعدد اللاجئين الفلسطينيين باعتبار وجود لاجئين غير مسجلين، إذ لا يشمل هذا العدد من تم تشريدهم من الفلسطينيين بعد عام 1949 حتى عشية حرب حزيران/يونيو 1967 حسب تعريف الأونروا ولا يشمل أيضا الفلسطينيين الذين رحلوا أو تم ترحيلهم عام 1967 على خلفية الحرب والذين لم يكونوا لاجئين أصلا"".
وأُجبر مئات الآلاف من الفلسطينيين على الرحيل أو ترك مدنهم وقراهم في 1948 وأصبحوا لاجئين في وطنهم وفي بلدان أخرى. وقدّر جهاز الإحصاء في بيانه القتلى الفلسطينيين منذ 1948 وحتى اليوم داخل الأراضي الفلسطينية وخارجها بأكثر من 136 ألفا.
وأحصى نفس البيان مقتل أكثر من 37500 شخص خلال الحملة الإسرائيلية على قطاع غزة منذ 7 أكتوبر/تشرين الأول، منهم أكثر من 15162 طفلا. كما سقط 520 قتيلا في الضفة الغربية خلال نفس الفترة. ولفت نفس المصدر إلى نزوح ""ما يقارب 2 مليون مواطن داخل القطاع بعيدا عن أماكن سكناهم"".
وتواصل إسرائيل هجومها على قطاع غزة بعد هجوم نفذته حركة المقاومة الإسلامية الفلسطينية (حماس) وفصائل فلسطينية أخرى على بلدات إسرائيلية متاخمة لقطاع غزة وقالت إسرائيل إنه أسفر عن مقتل 1200 شخص.
وتناول البيان أوضاع البطالة بين الفلسطينيين وقال إنها ""قفزت إلى مستويات غير مسبوقة"". كما أشار إلى أن التقديرات تشير إلى ارتفاع معدلات البطالة لتبلغ 75 بالمئة في الربع الرابع من عام 2023 مقابل 46 بالمئة في الربع الثالث من نفس السنة، ما يعني فقدان ما لا يقل عن 200 ألف وظيفة خلال الشهور الثلاثة الأولى من الحرب.
فرانس24/ رويترز","
                                        بلغ عدد اللاجئين الفلسطينيين المسجلين لدى وكالة الأونروا حوالي ستة ملايين شخص حسبما كشف جهاز الإحصاء الفلسطيني الخميس، في بيان بمناسبة اليوم العالمي للاجئين، مشيرا إلى أن هذه التقديرات لا تشمل ""من تم تشريدهم... بعد 1949 حتى عشية حرب حزيران 1967"" ولا أولئك ""الذين رحلوا أو تم ترحيلهم عام 1967"".                ",https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20240620-%D8%B9%D8%AF%D8%AF-%D8%A7%D9%84%D9%84%D8%A7%D8%AC%D8%A6%D9%8A%D9%86-%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D9%8A%D9%86-%D9%81%D9%8A-%D8%A7%D9%84%D8%B6%D9%81%D8%A9-%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D9%8A%D8%A9-%D9%88%D9%82%D8%B7%D8%A7%D8%B9-%D8%BA%D8%B2%D8%A9-%D9%88%D8%A7%D9%84%D8%AF%D9%88%D9%84-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D9%8A%D8%A8%D9%84%D8%BA-%D9%86%D8%AD%D9%88-6-%D9%85%D9%84%D8%A7%D9%8A%D9%8A%D9%86,20/06/2024 - 18:20,"

                                    الشرق الأوسط
                            "
5,France 24,كأس أمم أوروبا: إصابة مبابي تخلط أوراق الفرنسيين في مواجهتهم مع هولندا,,"
                                                يجد المنتخب الفرنسي نفسه في وضع لم يكن في الحسبان حين يخوض مواجهته المتجددة ضد نظيره الهولندي الجمعة في لايبزيغ في الجولة الثانية من منافسات المجموعة الرابعة لكأس أوروبا ألمانيا 2024، وذلك في ظل الشكوك التي تحوم حول نجمه المطلق قائده كيليان مبابي.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240620-%D9%85%D8%A8%D8%A7%D8%A8%D9%8A-%D9%8A%D8%B3%D8%AA%D8%A3%D9%86%D9%81-%D8%A7%D9%84%D8%AA%D8%AF%D8%B1%D9%8A%D8%A8%D8%A7%D8%AA,20/06/2024 - 10:57,"
                                    الأخبار المغاربية
                            "
6,France 24,فرنسا: ما موقف حزب التجمع الوطني من الحرب في أوكرانيا ومن الهجرة؟,,"
                                                تكثر الوعود الانتخابية منذ عمد الرئيس الفرنسي إلى حل الجمعية الوطنية في التاسع من حزيران/يونيو، من جانب ائتلاف اليسار والتجمع الوطني اليميني المتطرف وحتى في صفوف السلطة التنفيذية بعد وعود قطعها قبل فترة قصيرة غابرييل أتال دعما للقدرة الشرائية. وبعد تصريحات لرئيس التجمع الوطني جوردان بارديلا تحدث فيها عن إرجاء إلغاء إصلاح النظام التقاعدي في حال وصوله إلى السلطة، أوضح التجمع الاثنين الجدول الزمني لتحركاته، ولكن ماذا عن موقفه من الحرب في أوكرانيا ومن الهجرة؟                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240620-%D9%85%D8%A7-%D9%85%D9%88%D9%82%D9%81-%D8%AD%D8%B2%D8%A8-%D8%A7%D9%84%D8%AA%D8%AC%D9%85%D8%B9-%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A-%D9%85%D9%86-%D8%A7%D9%84%D8%AD%D8%B1%D8%A8-%D9%81%D9%8A-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7,20/06/2024 - 10:57,"
                                    الأخبار المغاربية
                            "
7,France 24,محكمة إيطالية تعلق تسليم تونس زوارق دورية,,"
                                                قرر مجلس الدولة الإيطالي أعلى محكمة ادارية تعليق تسليم 6 زوارق دورية إلى تونس على خلفية طعن قانوني تقدمت به منظمات غير حكومية قالت إن السلطات التونسية ارتكبت انتهاكات خطيرة لحقوق الإنسان                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20240620-%D8%B1%D9%88%D9%85%D8%A7,20/06/2024 - 22:10,"

                                    الأخبار المغاربية
                            "
8,France 24,بوتين يصل إلى فيتنام بعد التوقيع على اتفاقية دفاعية في كوريا الشمالية,"
غداة توقيعه اتفاقية دفاعية مع كوريا الشمالية تقلق الدول الغربية، حط الرئيس الروسي فلاديمير بوتين الرحال في فيتنام في خامس زيارة دولة له لهانوي، التي تزودها موسكو أسلحة منذ عقود .
وتأتي هذه الزيارة في إطار توقيع البلدين لاتفاقية ""شراكة استراتيجية شاملة""  ضد الهيمنة الأمريكية تنص على مساعدة متبادلة في حال تعرض أي منها ل""عدوان"" وعلى احتمال تعزيز ""التعاون العسكري الفني"" على ما أكد بوتين.
وأثنى الرئيس الروسي على نهج هانوي ""المتوازن"" بشأن الحرب في أوكرانيا في مقال نشر في صحيفة الحزب الشيوعي الحاكم. وكتب أن روسيا وفيتنام لديهما ""القراءة نفسها"" للوضع في منطقة آسيا والمحيط الهادئ.
وتخشى الولايات المتحدة وحلفاؤها من أن يفضي هذا التقارب المتواصل إلى إمدادات ذخائر وصواريخ كورية شمالية جديدة لروسيا لاستخدامها في الحرب في أوكرانيا.
وخلال هذه الزيارة، قال الرئيس الروسي إنه ""لا يستبعد"" احتمال إرسال أسلحة إلى كوريا الشمالية، ملمحا للدول الغربية التي تزود أوكرانيا بصواريخ متطورة. وأوضح بوتين: ""نحتفظ بحق إرسال أسلحة إلى مناطق أخرى في العالم، مع أخذ اتفاقاتنا مع كوريا الشمالية في الاعتبار. ولا أستبعد هذا الاحتمال"".
كما قال بوتين إن بلاده تدرس إدخال تعديلات محتملة في عقيدتها بخصوص استخدام الأسلحة النووية. وتنص العقيدة الحالية على أن روسيا ربما تستخدم مثل هذه الأسلحة ردا على هجوم نووي أو في حالة التعرض لهجوم تقليدي يشكل تهديدا وجوديا للدولة.
وذكر بوتين أن روسيا لا تحتاج إلى تنفيذ ضربة نووية وقائية. وكان بوتين يتحدث للصحافيين غداة زيارة كوريا الشمالية، التي تمتلك أسلحة نووية أيضا، حيث عقد قمة مع زعيمها كيم جونغ أون.
زينت شوارع سيول بأعلام روسية ونشرت تعزيزات أمنية استعدادا لاستقبال الرئيس الروسي الذي يربط بلاده بفيتنام تاريخ طويل يعود إلى الحقبة السوفياتية.
وقالت المواطنة نغويين تي مينه البالغة 59 عاما ""نحب روسيا وأعشق الروس لأنهم لطفاء جدا ويقدمون لنا الدعم منذ سنوات طويلة"".
وأرسلت موسكو أسلحة إلى حلفائها الشيوعيين خلال حرب فيتنام وساهمت على مدى عقود في تدريب كوادر كثر في الحزب الشيوعي الفيتنامي من بينهم نغوين فو ترونغ.
وتواصل موسكو بيع فيتنام جزءا كبيرا من أسلحتها وعتادها العسكري في جو من التوتر في بحر الصين الجنوبي حيث يساور هانوي القلق من تطلعات بكين التوسعية.
وستطرح مسائل الدفاع على بساط البحث على ما رأى محللون. واعتبر كارل ثايير الأستاذ الفخري في جامعة نيو ساوث ويلز الأسترالية أن البلدين ""لديهما مصلحة متبادلة في معاودة مبيعات الأسلحة التي تباطأت منذ 2022"". وأضاف ""لكن فيتنام مقيدة كثيرا بسبب احتمال فرض عقوبات أمريكية"" إذا فعلت ذلك.
باستقبالها بوتين الذي أصدرت المحكمة الجنائية الدولية في حقه مذكرة توقيف، تعرض هانوي نفسها لاستياء شركائها الغربيين في مقدمتهم الولايات المتحدة التي تعتبر فيتنام البالغ عدد سكانها مئة مليون نسمة، استراتيجية في الإنتاج الصناعي أو في شبه الموصلات.
وخلال العام الماضي زار الرئيسان الأمريكي جو بايدن والصيني شي جينبينغ هانوي التي تحاول البقاء على المسافة نفسها من القوتين العظميين بموجب ""دبلوماسية الخيزران"" التي تعتمدها وتجمع بين الحذر والبراغماتية.
إلا أن المديرة المساعدة لبرنامج آسيا في مجموعة الأزمات الدولية هونغ لو ثو قالت لوكالة الأنباء الفرنسية إن المحافظة على هذه السياسية سيزداد صعوبة، معتبرة أن زيارة بوتين تشكل ""اختبارا لمعرفة إلى أي حد يمكن لدبلوماسية هانوي المتعددة الاتجاهات أن تذهب وإن كانت لا تزال مقبولة من جانب القوى العظمى الرئيسية الأخرى"".
ولزيارة بوتين شق اقتصادي أيضا مع مشاريع تعاون متزايد في مجالات الطاقة، والتكنولوجيا، والتربية، والسياحة.
ويشارك الرئيس الروسي أيضا في مراسم وضع باقة من الزهر على ضريح أب الاستقلال هو شي منه وفي عشاء رسمي في دار الأوبرا.
فرانس24/ أ ف ب/ رويترز","
                                        بدأ الرئيس الروسي فلاديمير بوتين الخميس زيارة دولة لفيتنام قادما من كوريا الشمالية حيث صادق  المصادقة على اتفاقية دفاعية مع الزعيم كيم جون أون. وباستقبالها بوتين، تعرض هانوي نفسها لاستياء شركائها الغربيين في مقدمتهم الولايات المتحدة التي تعتبر فيتنام البالغ عدد سكانها مئة مليون نسمة، استراتيجية في الإنتاج الصناعي أو في شبه الموصلات.                ",https://www.france24.com/ar/%D8%A2%D8%B3%D9%8A%D8%A7/20240620-%D8%A8%D9%88%D8%AA%D9%8A%D9%86-%D9%8A%D8%B5%D9%84-%D8%A5%D9%84%D9%89-%D9%81%D9%8A%D8%AA%D9%86%D8%A7%D9%85-%D8%A8%D8%B9%D8%AF-%D8%A7%D9%84%D8%AA%D9%88%D9%82%D9%8A%D8%B9-%D8%B9%D9%84%D9%89-%D8%A7%D8%AA%D9%81%D8%A7%D9%82%D9%8A%D8%A9-%D8%AF%D9%81%D8%A7%D8%B9%D9%8A%D8%A9-%D9%81%D9%8A-%D9%83%D9%88%D8%B1%D9%8A%D8%A7-%D8%A7%D9%84%D8%B4%D9%85%D8%A7%D9%84%D9%8A%D8%A9,20/06/2024 - 14:21,"

                                    آسيا
                            "
9,France 24,فرنسا: محاكمة امرأتين بسبب ادعاءات كاذبة بأن بريجيت ماكرون متحولة جنسيا,"
بدأت الأربعاء محاكمة امرأتين في فرنسا بتهمة الادعاء الكاذب حول الهوية الجندرية لبريجيت ماكرون، تدعيان فيه أن زوجة الرئيس الفرنسي عابرة جنسيا ما أثار شائعات انتشرت عبر الإنترنت واستغلها اليمين المتطرف والمؤمنون بنظريات المؤامرة.
ورفعت بريجيت ماكرون دعوى تشهير في 2022 ضد امرأتين بثتا مقابلة عبر يوتيوب في كانون الأول/ديسمبر 2021 زعمتا فيها أن السيدة الفرنسية الأولى كانت ذات يوم رجلا يُدعى ""جان ميشال"".
وقد انتشر هذا الادعاء على نطاق واسع قبل أسابيع من الانتخابات الرئاسية الفرنسية عام 2022.
وتأتي المحاكمة وسط حملات انتخابية محمومة قبل الانتخابات التشريعية المبكرة التي دعا إليها الرئيس إيمانويل ماكرون عقب المكاسب التي حققها اليمين المتطرف في انتخابات البرلمان الأوروبي.
ومثلت أماندين روا التي تعرف عن نفسها بأنها وسيطة روحانية أمام المحكمة في باريس الأربعاء للإجابة على أسئلة حول مقابلة أجرتها مع الصحافية المستقلة ناتاشا ري التي لم تحضر بسبب المرض.
وكانت روا البالغة 49 عاما قد أجرت مقابلة مع ناتاشا ري لمدة أربع ساعات على قناتها على يوتيوب تحدثت فيها الصحافية عن ""كذبة الدولة"" و""الخدعة"" التي ادعت أنها كشفتها.
وقالت روا إن الصحافية كانت تسعى بشكل يائس لمشاركة ما توصلت إليه، مشيرة إلى أنها ""أذعنت على مضض لطلبها"".
أما فيما يتعلق بمصداقية الادعاءات، فقد أصرت روا على أن ري ""قضت ثلاث سنوات في البحث، وليس الأمر وكأنها سحبته من قبعتها"". وقالت روا ""أشعر بالأسف لأن هذا الأمر لم تثره وسائل الإعلام الرئيسية وتحقق فيه""، مضيفة أنها لم تستطع ""إخفاء"" مثل هذا الموضوع ""الخطير"".
ولم يحضر الرئيس البالغ 46 عاما ولا السيدة الأولى البالغة 71 عاما الجلسة في المحكمة.
انتشرت مزاعم على وسائل التواصل الاجتماعي بأن السيدة الأولى بريجيت تروغنو سابقا لم تكن موجودة أبدا، وأن شقيقها جان ميشال غيّر جنسه واتخذ هذه الهوية.
كما تطور الادعاء الكاذب إلى اتهامات أكثر خطورة لبريجيت ماكرون بإساءة معاملة الأطفال. وقال جان اينوتشي محامي بريجيت ماكرون ""إن التحيز هائل، لقد انفجر في كل مكان"".
وطالب اينوتشي بتعويض قدره 10 آلاف يورو لكل من بريجيت ماكرون وشقيقها.
تعد بريجيت ماكرون من بين مجموعة من النساء المؤثرات مثل السيدة الأمريكية الأولى السابقة ميشيل أوباما ورئيسة الوزراء النيوزيلندية السابقة جاسيندا أرديرن اللواتي وقعن ضحية التضليل حول جنسهن أو ميولهن الجنسية بهدف السخرية منهن واذلالهن.ومن المقرر اصدار حكم في القضية قرار في 12 أيلول/سبتمبر.
فرانس24/ أ ف ب","
                                        مثلت امرأتان أمام القضاء الفرنسي الأربعاء بسبب ادعاءات كاذبة بأن السيدة الأولى في فرنسا بريجيت ماكرون متحولة جنسيا، مما أثار شائعات عبر الإنترنت استغلها اليمين المتطرف في ظل الحملة الانتخابية للستحقاقات التشريعية القادمة في البلاد.                ",https://www.france24.com/ar/%D9%81%D8%B1%D9%86%D8%B3%D8%A7/20240620-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D9%85%D8%AD%D8%A7%D9%83%D9%85%D8%A9-%D8%A7%D9%85%D8%B1%D8%A3%D8%AA%D9%8A%D9%86-%D8%A8%D8%B3%D8%A8%D8%A8-%D8%A7%D8%AF%D8%B9%D8%A7%D8%A1%D8%A7%D8%AA-%D9%83%D8%A7%D8%B0%D8%A8%D8%A9-%D8%A8%D8%A3%D9%86-%D8%A8%D8%B1%D9%8A%D8%AC%D9%8A%D8%AA-%D9%85%D8%A7%D9%83%D8%B1%D9%88%D9%86-%D9%85%D8%AA%D8%AD%D9%88%D9%84%D8%A9-%D8%AC%D9%86%D8%B3%D9%8A%D8%A7,20/06/2024 - 07:49,"

                                    فرنسا
                            "
10,France 24,"صدمة في فرنسا إثر اغتصاب جماعي لفتاة قاصر بدافع ""معاداة السامية""","

خلفت جريمة الاغتصاب الجماعي لفتاة تبلغ 12 عاما والتي تخللتها أفعال معادية للسامية صدمة في فرنسا، حيث دان الرئيس الفرنسي إيمانويل ماكرون الأربعاء ""آفة"" معاداة السامية بعد توجيه اتهامات في الجريمة لقاصرين يبلغان 13 عاما.
وعقب هذه الواقعة، تظاهر المئات  ضد معاداة السامية في شوارع العاصمة باريس وليون، وسط تبادل الاتهامات بين الأحزاب السياسية المتنافسة التي تتحضر لخوض الانتخابات العامة المقررة في وقت لاحق من هذا الشهر.
وبحسب مصدر في الشرطة ذكرت الضحية أن ثلاثة فتيان اقتربوا منها السبت في كوربفوا إحدى ضواحي باريس، وأخذوها إلى عنبر بينما كانت في حديقة عامة قريبة من منزلها مع صديق.
وقال المصدر نفسه إن المشتبه بهم قاموا بضربها و""أرغموها على القيام بأعمال جنسية مطلقين تهديدات بالقتل وعبارات معادية للسامية"".
ونقل مصدر آخر في الشرطة أن الفتاة أكدت أنه تم وصفها بـ""اليهودية القذرة"" مضيفا أن  أن أحد الفتيان سألها عن ""دينها اليهودي"" وإسرائيل، نقلا عن إفادة الطفلة للمحققين.
وأفادت مصادر في الشرطة إن فتى قام بتصوير عملية الاغتصاب، بينما هدد آخر بقتل الفتاة إذا قامت بإبلاغ السلطات.
تمكنت صديقة كان برفقة الضحية في الحديقة من التعرف على اثنين من المهاجمين، وأعقب ذلك اعتقال الشرطة لثلاثة فتيان الاثنين.
وتم مساء الثلاثاء توجيه الاتهام إلى قاصرين يبلغان 13 عاما وأودعا السجن بتهمة الاغتصاب الجماعي والتهديد بالقتل والشتائم والعنف المعادي للسامية، ما أثار صدمة في أوساط الجالية اليهودية على خلفية تزايد الأعمال المعادية للسامية.
بحسب النيابة العامة في نانتير غرب العاصمة الفرنسية وجهت إلى مشتبه به ثالث وهو قاصر أيضا يبلغ 12 عاما، تهمة توجيه إهانات معادية للسامية والعنف والتهديد بالقتل لكن ليس الاغتصاب.
وقالت النيابة العامة في بيان إن الفتيان ""أعربوا عن ندمهم تجاه الضحية دون مناقشة تورطهم في وقائع"" القضية.
ويوجد في فرنسا أكبر عدد من السكان اليهود مقارنة بأي دولة أخرى ما عدا إسرائيل والولايات المتحدة.
وخلال مظاهرة في وسط باريس شارك فيها وزير العدل الفرنسي إريك دوبون موريتي مع عدد من الشخصيات المعروفة، حمل أحدهم لافتة كتب عليها ""اغتُصبت وهي في الثانية عشرة من عمرها لأنها يهودية"".
من جهته، قال الرئيس ايمانويل ماكرون متوجها للوزراء إن ""آفة معاداة السامية"" تهدد المدارس الفرنسية. وأضاف مصدر قريب من الرئيس الفرنسي ""تحدث بجدية عن آفة معاداة السامية"" خلال اجتماع حكومي.
وتابع المصدر أن الرئيس دعا إلى ""الحوار"" حول العنصرية وكراهية اليهود في المدارس لمنع ""خطاب الكراهية الذي سيكون له عواقب وخيمة في حال تسلل"" إلى المدراس.
أما زعيمة التجمع الوطني، مارين لوبان فقالت في منشور على منصة إكس إن ""الهجوم المعادي للسامية واغتصاب طفلة تبلغ 12 عاما في أو دو سين يثيران غضبنا"" وانتقدت ""التعرض لليهود منذ أشهر من قبل اليسار المتطرف من خلال استغلال النزاع الإسرائيلي الفلسطيني"".
وندد جان لوك ميلنشون، رئيس حزب فرنسا الأبية الذي اتُهم بالتقليل من أهمية الهجمات ضد اليهود، بـ""العنصرية المعادية للسامية"".
واستنكر رئيس المجمع الديني اليهودي المركزي إيلي كورشيا ما وصفه بأنه ""جريمة جنسية قذرة وحقيرة""، بينما أعرب حاخام الطائفة اليهودية في فرنسيا حاييم كورسيا عن ""ذعره"" وأنه ""لا ينبغي إعطاء تبريرات لأحد في مواجهة هذه الموجة غير المسبوقة من معاداة السامية"".
وندد جاك كوسوفسكي رئيس بلدية كوربفوا من وسط اليمين بهذا ""العمل الحقير""، داعيا إلى مواجهة الجناة بكل قوة القانون ""مهما كانت أعمارهم"".
وأظهرت أرقام رسمية أن الأعمال المعادية للسامية في فرنسا زادت ثلاثة أضعاف في الأشهر الأولى من عام 2024 مقارنة بالفترة نفسها من العام الماضي.
يجدرالذكر أنه من بين 1,676 عملا معاديا للسامية تم تسجيلها في 2023، وقع 12,7% منها في المدارس.
فرانس24/ أ ف ب","
                                        وجه القضاء الفرنسي الثلاثاء الاتهام إلى ثلاثة قاصرين تتراوح أعمارهم بين 12 و13 عاما لارتكابهم جريمة اغتصاب معادية للسامية لفتاة تبلغ من العمر 12 عاما في كوربفوا إحدى ضواحي باريس. وأثارت هذه القضية استنكار الزعماء السياسيين الذين أدانوا ""الجريمة الشنيعة"" و""الاغتصاب المروع المعادي للسامية"" على حد وصفهم. فيما تظاهر المئات في باريس وليون عقب النازلة.                ",https://www.france24.com/ar/%D9%81%D8%B1%D9%86%D8%B3%D8%A7/20240620-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D9%85%D8%B1%D8%A7%D9%87%D9%82%D9%88%D9%86-%D9%8A%D8%BA%D8%AA%D8%B5%D8%A8%D9%88%D9%86-%D9%81%D8%AA%D8%A7%D8%A9-%D8%AA%D8%A8%D9%84%D8%BA-%D9%85%D9%86-%D8%A7%D9%84%D8%B9%D9%85%D8%B1-12-%D8%B9%D8%A7%D9%85%D8%A7-%D8%A8%D8%AF%D8%A7%D9%81%D8%B9-%D9%85%D8%B9%D8%A7%D8%AF%D8%A7%D8%A9-%D8%A7%D9%84%D8%B3%D8%A7%D9%85%D9%8A%D8%A9,20/06/2024 - 10:56,"

                                    فرنسا
                            "
