,source,title,content,description,url,published_at,tags
0,France 24,"جمهورية الكونغو الديمقراطية: فرنسا تصف الهجمات التي استهدفت سفارتها بـ""غير المقبولة""","
هاجم متظاهرون سفارات عدة في كينشاسا،عاصمة جمهورية الكونغو الديمقراطية  بما فيها سفارة رواندا، خلال مظاهرات الثلاثاء المناهضة لتصاعد الصراع في شرق البلاد، وفق ما أفادت به مصادر دبلوماسية.
واستُهدفت سفارات رواندا وفرنسا وبلجيكا والولايات المتحدة، في حين تصاعد الدخان من مبنى السفارة الفرنسية، وفق ما شاهدت مراسلة وكالة الأنباء الفرنسية.
وفي تغريدة على موقع إكس، وصف جان نويل بارو، وزير الخارجية الفرنسي هذه الهجمات بـ ""غير المقبولة"" مضيفا أنه ""تم اتخاذ جميع الإجراءات الأمنية لحماية الرعايا الفرنسيين وموظفي السفارة"".
من جهته، أكدت مراسلة فرانس24 في جمهورية الكونغو الديمقراطية أوريلي بازارا كيبانغولا أن ""مظاهرات عديدة استهدفت عدة سفارات من بينها السفارة الفرنسية والأمريكية إضافة إلى سفارتي كينيا وبلجيكا""، مضيفة أن ""مبنى السفارة الرواندية تعرض هو الآخر إلى هجوم من قبل المتظاهرين."" فيما أشارت إلى أن ""المتظاهرين انتقدوا موقف الدول الأوروبية والولايات المتحدة إزاء الاقتتال الدائر في شرق البلاد"" بين القوات المسلحة الكونغولية ومتمردي ""إم 23"" المدعومين من قبل رواندا.
واندلعت معارك عنيفة في غوما بين القوات العسكرية الكونغولية ومقاتلي حركة ""إم 23"" مدعومين من جنود روانديين دخلوا المدينة، فيما أفادت كيغالي عن مقتل خمسة مدنيين على الأقل على الأراضي الرواندية.
من ناحيته، أكد وزير الإعلام الكونغولي باتريك مويايا كاتمبوي أن الوضع بات تحت السيطرة، منوها أنه ""تم تعزيز الأمن في محيط جميع السفارات الأجنبية في العاصمة"".
وتتواصل أعمال القتال في مدينة غوما، وهي أكبر مدينة تقع في شرق جمهورية الكونغو الديمقراطية، بين القوات المسلحة الكونغولية و""إم 23"" المدعومين من طرف كيغالي. ووفق آخر حصيلة، قتل 17 شخصا وأصيب حوالي 370 بجروح متفاوتة الخطورة.

فرانس24 /أ ف ب","
                                        بينما يتواصل القتال في مدينة غوما الكونغولية والحدودية مع رواندا، نظمت مظاهرات عديدة في العاصمة كينشاسا احتجاجا على ذلك. فيما اندلع حريق مس السفارة الفرنسية، ما جعل الخارجية الفرنسية تندد بهذا العمل وتصفه بـ""غير المقبول"".                ",https://www.france24.com/ar/%D8%A3%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A7/20250128-%D8%AC%D9%85%D9%87%D9%88%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D9%83%D9%88%D9%86%D8%BA%D9%88-%D8%A7%D9%84%D8%AF%D9%8A%D9%85%D9%82%D8%B1%D8%A7%D8%B7%D9%8A%D8%A9-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D8%AA%D8%B5%D9%81-%D8%A7%D9%84%D9%87%D8%AC%D9%85%D8%A7%D8%AA-%D8%A7%D9%84%D8%AA%D9%8A-%D8%A7%D8%B3%D8%AA%D9%87%D8%AF%D9%81%D8%AA-%D8%B3%D9%81%D8%A7%D8%B1%D8%AA%D9%87%D8%A7-%D8%A8%D9%80-%D8%BA%D9%8A%D8%B1-%D8%A7%D9%84%D9%85%D9%82%D8%A8%D9%88%D9%84%D8%A9,28/01/2025 - 16:54,"

                                    أفريقيا
                            "
1,France 24,دونالد ترامب يؤكد رغبته في نقل سكان غزة إلى مصر أو الأردن ويعلن عن لقاء مرتقب مع نتانياهو,"
كرر الرئيس الأمريكي دونالد ترامب الإثنين رغبته بنقل فلسطينيي غزة إلى أماكن ""أكثر أمانا"" مثل مصر أو الأردن، كاشفا أنه سيلتقي رئيس الوزراء الإسرائيلي بنيامين نتانياهو في واشنطن ""قريبا جدا"".
وعندما سئل عن هذه التعليقات، قال ترامب للصحافيين مساء الإثنين على متن الطائرة الرئاسية إنه ""يود أن ينقلهم للعيش في منطقة حيث يكون بامكانهم العيش بدون اضطرابات وثورة وعنف"".
وأضاف ""أتعلمون، عندما تنظرون إلى قطاع غزة، كان جحيما لسنوات عديدة  كان هناك دائما عنف مرتبط به"".
وتحدث ترامب لأول مرة عن هذا الاقتراح السبت حيث عبر عن فكرة ""تطهير"" غزة بعد أكثر من 15 شهرا من الحرب بين إسرائيل وحماس التي حولت القطاع الفلسطيني إلى أرض ""مهدمة"".

وكان نحو 2,4 مليون نسمة من سكان غزة  قد غادروا القطاع بسبب الحرب التي اندلعت جراء هجوم حماس على إسرائيل في 7 تشرين الأول/أكتوبر 2023.
وردا على سؤال عن حل الدولتين، أجاب ترامب أنه سيلتقي نتانياهو ""في مستقبل غير بعيد""، مضيفا ""سيأتي إلى هنا للقائي"".

كما أجرى ترامب محادثات في الأيام الأخيرة مع العاهل الأردني الملك عبد الله الثاني والرئيس المصري عبد الفتاح السيسي اللذين عارضا تاريخيا تهجير الفلسطينيين.
وقال ترامب عن السيسي ""أتمنى أن يأخذ البعض"" منهم، مضيفا ""ساعدناهم كثيرا، وأنا متأكد من أنه سيساعدنا"".
وتابع ""كما يقولون، إنها منطقة صعبة، لكنني أعتقد أنه سيفعل ذلك، وأعتقد أن ملك الأردن سيفعل ذلك أيضا"".
ومن المقرر أن يستمر وقف إطلاق النار الجاري ستة أسابيع، ما يسمح بالإفراج عن 33 رهينة اسرائيلية في غزة مقابل حوالي 1900 سجين فلسطيني.
سيتم التفاوض  خلال هذه المرحلة الأولى، على شروط المرحلة الثانية، بهدف تحرير آخر الرهائن وإنهاء الحرب.
وتتضمن المرحلة الأخيرة إعادة إعمار غزة وإعادة جثث آخر الرهائن الذين قتلوا وهم قيد الاحتجاز.
فرانس24 / أ ف ب","
                                        كرر الرئيس الأمريكي دونالد ترامب  اقتراحه نقل الفلسطينيين من غزة إلى أماكن ""أكثر أمانا"" كمصر أو الأردن ،حيث يرغب في ""أن ينقلهم للعيش في منطقة دون اضطرابات وثورة وعنف"". وأعلن أنه سيلتقي رئيس الوزراء نتانياهو ""في مستقبل غير بعيد""، موضحا أنه يعتقد أن السيسي والملك عبد الله سيقبلان البعض من سكان غزة في بلديهما.                   ",https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20250128-%D8%AF%D9%88%D9%86%D8%A7%D9%84%D8%AF-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D9%8A%D8%A4%D9%83%D8%AF-%D8%B1%D8%BA%D8%A8%D8%AA%D9%87-%D9%81%D9%8A-%D9%86%D9%82%D9%84-%D8%B3%D9%83%D8%A7%D9%86-%D8%BA%D8%B2%D8%A9-%D8%A5%D9%84%D9%89-%D9%85%D8%B5%D8%B1-%D8%A3%D9%88-%D8%A7%D9%84%D8%A3%D8%B1%D8%AF%D9%86-%D9%88%D9%8A%D8%B9%D9%84%D9%86-%D8%B9%D9%86-%D9%84%D9%82%D8%A7%D8%A1-%D9%85%D8%B1%D8%AA%D9%82%D8%A8-%D9%85%D8%B9-%D9%86%D8%AA%D8%A7%D9%86%D9%8A%D8%A7%D9%87%D9%88,28/01/2025 - 07:42,"

                                    الشرق الأوسط
                            "
2,France 24,كيف تفاعل الغزيون مع تصريحات ترامب بشأن تهجيرهم من القطاع؟,,"
                                                طرح الرئيس الأميركي دونالد ترامب السبت فكرة ""تطهير"" غزة بعد أكثر من 15 شهرا من الحرب بين إسرائيل وحماس التي حولت القطاع الفلسطيني إلى أرض ""مهدمة"". وأكد ترامب الاثنين مجددا رغبته بنقل الفلسطينيين من غزة إلى أماكن ""أكثر أمانا"" مثل مصر أو الأردن، كاشفا أنه سيلتقي رئيس الوزراء الإسرائيلي بنيامين نتانياهو في واشنطن ""قريبا جدا"".                     ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20250128-%D9%83%D9%8A%D9%81-%D9%8A%D8%AA%D9%81%D8%A7%D8%B9%D9%84-%D8%A7%D9%84%D8%BA%D8%B2%D9%8A%D9%88%D9%86-%D9%85%D8%B9-%D8%AA%D8%B5%D8%B1%D9%8A%D8%AD%D8%A7%D8%AA-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8,28/01/2025 - 11:52,"

                                    الشرق الأوسط
                            "
3,France 24,"الرئيس عبد اللطيف رشيد: ""قرار العراق مستقل والفصائل المسلحة عراقية""",,"
                                        في حديث خاص مع قناة فرانس24 أجراه طارق القاعي، تناول الرئيس العراقي عبد اللطيف رشيد المتغيرات الإقليمية والدولية الأخيرة. وشدد رشيد على تأييد العراق لطموحات الشعب السوري من أجل الوصول إلى الديمقراطية. كما أمل أن ينجح الرئيس الامريكي دونالد ترامب بطرحه بإنهاء الحروب في العالم. أما في السياق الداخلي، فأشار الرئيس العراقي أن الأوضاع الأمنية جيدة. وعن النقاش الدائر بالعراق حول تجريد سلاح الفصائل المسلّحة، أكد رشيد أن الفصائل هي عراقية وأن نشاطاتها تتم بتوجيهات من الحكومة العراقية. كما اعتبر أن الحشد الشعبي هو جزء من القوات الأمنية العراقية.                ",https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20250128-%D8%A7%D9%84%D8%B1%D8%A6%D9%8A%D8%B3-%D8%B9%D8%A8%D8%AF-%D8%A7%D9%84%D9%84%D8%B7%D9%8A%D9%81-%D8%B1%D8%B4%D9%8A%D8%AF-%D9%82%D8%B1%D8%A7%D8%B1-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82-%D9%85%D8%B3%D8%AA%D9%82%D9%84-%D9%88%D8%A7%D9%84%D9%81%D8%B5%D8%A7%D8%A6%D9%84-%D8%A7%D9%84%D9%85%D8%B3%D9%84%D8%AD%D8%A9-%D8%B9%D8%B1%D8%A7%D9%82%D9%8A%D8%A9,28/01/2025 - 14:32,"

                                    الشرق الأوسط
                            "
4,France 24,"الجزائر تستدعي سفير فرنسا وتندّد ""بمعاملة مهينة"" لمواطنيها في باريس",,"
                                                الجزائر تستدعي سفير فرنسا وتندد ""بمعاملة مهينة"" لمواطنيها في باريس                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20250128-%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1,28/01/2025 - 22:08,"

                                    الأخبار المغاربية
                            "
5,France 24,نحو 9 مليارات رحلة بين المقاطعات.. احتفالات برأس السنة الصينية الجديدة,,"
                                                   شهدت محطات القطارات والمطارات في مختلف أنحاء الصين السبت ذروة في عدد المسافرين مع اقتراب الاحتفالات بالعام القمري الجديد، إذ عاد ملايين الأشخاص إلى منازلهم لتمضية العطلة مع عائلاتهم، في عملية تنقّل سنوية يُتوقّع أن تكون قياسية هذا العام.   وتبدأ السنة الصينية الجديدة، سنة الثعبان، الأربعاء.  وخلال فترة الأربعين يوما التقليدية التي تمتد قبل العطلات وخلالها وبعدها، يُتوقَّع إجراء نحو تسعة مليارات رحلة في مختلف وسائل النقل بين المقاطعات، بحسب لوكالة أنباء شينخوا الرسمية.                    ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20250128-%D8%A7%D8%AD%D8%AA%D9%81%D8%A7%D9%84%D8%A7%D8%AA-%D8%B1%D8%A3%D8%B3-%D8%A7%D9%84%D8%B3%D9%86%D8%A9-%D8%A7%D9%84%D8%B5%D9%8A%D9%86%D9%8A%D8%A9-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9,28/01/2025 - 09:51,"

                                    آسيا
                            "
6,France 24,فرنسا تعبر عن قلقها من تدخلات إيلون ماسك في المشهد السياسي الأوروبي,"
اعتبر رئيس الوزراء الفرنسي، فرانسوا بايرو، الإثنين، أن الملياردير إيلون ماسك، مالك شبكة ""إكس"" للتواصل الاجتماعي والمقرب من الرئيس الأمريكي السابق دونالد ترامب، يشكل تهديدا للديمقراطيات.
وأكد بايرو خلال مقابلة مع إحدى القنوات التلفزيونية المحلية ينبغي ألا يكون لتأثير المال سيطرة على الضمائر، قائلا إن ""إيلون ماسك يشكل خطرا على الديمقراطيات"".
وأشار رئيس الوزراء الفرنسي إلى مخاوفه من سياسات ترامب، مذكرا الأسبوع الماضي بضرورة مواجهة أوروبا وفرنسا لهذه السياسات لتجنب خطر ""الهيمنة والتهميش"".
أما ماسك، الرئيس التنفيذي لشركة ""تيسلا""، فقد أبدى اهتمامه بالتدخل في الشؤون السياسية الخارجية.
وسبق أن أعلن تأييده لحزب ألماني معارض للهجرة قبل انتخابات شباط/فبراير، كما دعا في تصريحات أخرى رئيس الوزراء البريطاني كير ستارمر إلى الاستقالة.
وكان الرئيس الفرنسي إيمانويل ماكرون قد اتهم إيلون ماسك بدعم ""أممية رجعية جديدة"".
وقال ماكرون في كلمته أمام السفراء الفرنسيين في 7 كانون الثاني/يناير 2025: ""من ذا الذي كان يتصور، من عشر سنوات خلت، أن هذا الأمر يمكن حدوثه... أن صاحب واحدة من أكبر شبكات التواصل الاجتماعية في العالم سيدعم أممية رجعية جديدة ويتدخل مباشرة في الانتخابات ؟""","
                                        حذر رئيس الوزراء الفرنسي فرانسوا بايرو من خطورة تأثير إيلون ماسك، مالك شبكة ""إكس"" وحليف الرئيس الأمريكي دونالد ترامب، على الديمقراطيات. وفي تصريحات تلفزيونية، وصف ماسك بأنه خطر على الضمائر بسبب تدخل المال في السياسة.                ",https://www.france24.com/ar/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20250127-%D9%81%D8%B1%D9%86%D8%B3%D8%A7-%D8%A8%D8%A7%D9%8A%D8%B1%D9%88-%D9%8A%D8%AD%D8%B0%D8%B1-%D9%85%D9%86-%D8%AA%D9%87%D8%AF%D9%8A%D8%AF-%D8%A5%D9%8A%D9%84%D9%88%D9%86-%D9%85%D8%A7%D8%B3%D9%83-%D9%84%D9%84%D8%AF%D9%88%D9%84-%D8%A7%D9%84%D8%AF%D9%8A%D9%85%D9%82%D8%B1%D8%A7%D8%B7%D9%8A%D8%A9,28/01/2025 - 00:11,"

                                    أوروبا
                            "
7,France 24,"السودان: المدعي العام للجنائية الدولية يقول إن ""جحيم"" حرب دارفور يتكرر بعد 20 عاما","
قال المدعي العام للمحكمة الجنائية الدولية كريم خان الإثنين إن جيلا جديدا من السودانيين يعاني ""الجحيم"" نفسه في دارفور كما حدث خلال الحرب الأهلية في أوائل القرن الحالي، وذلك بينما يستعد لطلب إصدار مذكرات توقيف.
وأكد خان، الذي يستعرض الوضع في السودان كل ستة أشهر أمام مجلس الأمن الدولي، ""من الواضح بالنسبة إلى مكتبي أنه بينما نتحدث، يتم ارتكاب جرائم دولية في دارفور"".
وفيما تطرق المدعي العام إلى المجاعة واستهداف الأطفال واغتصاب الفتيات والنساء، أشار إلى أنه منذ تقريره الأخير الصادر قبل ستة أشهر، انزلقت البلاد التي تشهد حربا منذ نيسان/أبريل 2023، في ""المعاناة والبؤس"" بشكل أكبر.
وقال المدعي العام للمحكمة الجنائية الدولية إن ""هذا ليس تقييما مبنيا على معلومات غير مؤكدة. إنّه تحليل مفصل أجراه مكتبي، بناء على أدلة ومعلومات تم جمعها والتحقق منها"".
وفي هذا السياق، أضاف ""يمكنني أن أؤكد اليوم أن مكتبي يتخذ الإجراءات اللازمة لتقديم طلبات لإصدار مذكرات توقيف في ما يتعلق بالجرائم، التي نعتقد أنها تُرتكب وارتُكبت في غرب دارفور"".
وأضاف أن هذه المعاناة ""تعكس"" تلك التي أدت إلى إحالة هذه القضية من قبل مجلس الأمن الدولي إلى المحكمة قبل عشرين عاما، مشيرا إلى ""النماذج الإجرامية"" نفسها و""المجموعات المستهدفة نفسها"". وأكد أن ""جيلا جديدا يعاني الجحيم نفسه الذي عانت منه أجيال في دارفور""، معربا عن أسفه لهذا الارتباط ""المأساوي والذي يمكن تجنبه"" بين الماضي والحاضر.
وفي العام 2023، فتحت المحكمة الجنائية الدولية تحقيقا جديدا في جرائم حرب في هذه المنطقة المتضررة أيضا من النزاع الجديد بين الجيش السوداني وقوات الدعم السريع والذي بدأ قبل عامين تقريبا.
وكان مجلس الأمن الدولي قد أحال في العام 2005 القضية المتعلقة بالحرب الأهلية التي خلفت حوالى 300 ألف قتيل في بداية القرن الحالي.
وحذر كريم خان من أنه ""بعد عشرين عاما، وفي غياب تنفيذ أوامر الاعتقال الصادرة عن القاضي، نرى خطر زعزعة استقرار دارفور، ومزيدا من المعاناة بالنسبة إلى السكان"".
ولم يتم إلقاء القبض على العديد من الأشخاص الصادرة بحقهم مذكرات اعتقال من قبل المحكمة الجنائية الدولية، كما لم يتم تسليمهم إلى المحكمة، بما في ذلك الرئيس السابق عمر البشير.
فرانس24 / أ ف ب","
                                        وصف المدعي العام للمحكمة الجنائية الدولية كريم خان ما يعيشه الجيل الجديد من السودانيين بنفس ""الجحيم"" الذي حدث خلال الحرب الأهلية في دارفور . وأشار المدعي العام إلى انتشار المجاعة واستهداف الأطفال والاغتصابات في هذا الإقليم وأنه يتم تقديم طلبات لإصدار مذكرات توقيف بسبب جرائم ""يعتقد أنها تُرتكب وارتُكبت في غرب دارفور"".  وفتحت المحكمة الجنائية الدولية في 2023  تحقيقا جديدا في جرائم حرب في هذه المنطقة في السودان والتي يتنازع فيها منذ عامين الجيش السوداني وقوات الدعم السريع.                  ",https://www.france24.com/ar/%D8%A3%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A7/20250128-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86-%D8%A7%D9%84%D9%85%D8%AF%D8%B9%D9%8A-%D8%A7%D9%84%D8%B9%D8%A7%D9%85-%D9%84%D9%84%D8%AC%D9%86%D8%A7%D8%A6%D9%8A%D8%A9-%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%8A%D8%A9-%D9%8A%D9%82%D9%88%D9%84-%D8%A5%D9%86-%D8%AC%D8%AD%D9%8A%D9%85-%D8%AD%D8%B1%D8%A8-%D8%AF%D8%A7%D8%B1%D9%81%D9%88%D8%B1-%D9%8A%D8%AA%D9%83%D8%B1%D8%B1-%D8%A8%D8%B9%D8%AF-20-%D8%B9%D8%A7%D9%85%D8%A7,28/01/2025 - 09:36,"

                                    أفريقيا
                            "
8,France 24,كرة القدم: الناصري رئيسا جديدا للجامعة التونسية وكبار الأندية المغاربية تحت إشراف مدربين تونسيين,,"
                                                في برنامج ""رياضة24"" نستعرض المواضيع التالية: الجامعة التونسية لكرة القدم تختار معز الناصري رئيسا جديدا لمدة أربع سنوات، فما هي التحديات التي تنتظره على  رأس أعلى هئية كروية تونسية؟ وكبار الأندية المغاربية تحت إشراف مدربين تونسيين، كمولودية الجزائر واتحاد العاصمة الجزائري، نهضة بركان المغربي، إضافة إلى النصر والأخضر الليبيين. فلماذا تفضل إدارات أكبر النوادي المغاربية التعامل مع المدرب التونسي؟ ونتطرق إلى تغيير المدربين في الدوري الجزائري.. هل أضحى الشارع يتحكم في الأندية؟                    ",https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9-24/20250128-%D9%83%D8%B1%D8%A9-%D8%A7%D9%84%D9%82%D8%AF%D9%85-%D8%A7%D9%84%D9%86%D8%A7%D8%B5%D8%B1%D9%8A-%D8%B1%D8%A6%D9%8A%D8%B3%D8%A7-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A7-%D9%84%D9%84%D8%AC%D8%A7%D9%85%D8%B9%D8%A9-%D8%A7%D9%84%D8%AA%D9%88%D9%86%D8%B3%D9%8A%D8%A9-%D9%88%D9%83%D8%A8%D8%A7%D8%B1-%D8%A7%D9%84%D8%A3%D9%86%D8%AF%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D8%BA%D8%A7%D8%B1%D8%A8%D9%8A%D8%A9-%D8%AA%D8%AD%D8%AA-%D8%A5%D8%B4%D8%B1%D8%A7%D9%81-%D9%85%D8%AF%D8%B1%D8%A8%D9%8A%D9%86-%D8%AA%D9%88%D9%86%D8%B3%D9%8A%D9%8A%D9%86,28/01/2025 - 13:44,"

                                    رياضة
                            "
9,France 24,"""ديب سيك"" تطبيق صيني يغير معادلة الذكاء الاصطناعي العالمي... وترامب يعتبره ""جرس إنذار""","
أعلنت شركة ديب سيك الصينية عن إطلاق تطبيق ذكاء اصطناعي متقدم تقول إنه يماثل أو يتفوق على التطبيقات الرائدة في الولايات المتحدة، وذلك بتكلفة تطوير أقل بكثير.
وأكدت الشركة أن هذا الابتكار يهدد بإحداث تغييرات جذرية في قطاع التكنولوجيا العالمي، حيث نجح التطبيق في جذب انتباه المتخصصين في الذكاء الاصطناعي خلال وقت قياسي.
بدوره، رأى الرئيس الأمريكي، دونالد ترامب، أن تطبيق الذكاء الاصطناعي الصيني ""ديب سيك"" يعد بمثابة ""جرس إنذار"" للولايات المتحدة.
وقال ترامب خلال مؤتمر للحزب الجمهوري في ميامي: ""نأمل أن يكون إطلاق ديب سيك  للذكاء الاصطناعي من شركة صينية بمثابة جرس إنذار لحاجة صناعاتنا إلى التركيز الحاد على المنافسة للفوز"".
واستطاع تطبيق ديب سيك، بحلول الإثنين، أن يتصدر قائمة التطبيقات المجانية الأكثر تحميلا على متجر أبل في الولايات المتحدة، متجاوزا تطبيق ""تشات جي بي تي"" الأمريكي الشهير.
وأطلق هذا التفوق موجة من التساؤلات حول استثمارات الشركات الأمريكية التي خصصت مليارات الدولارات لتطوير تطبيقات الذكاء الاصطناعي.
كما أثر النجاح السريع للتطبيق على سوق الأسهم، حيث شهدت شركات تكنولوجيا كبرى، بما فيها إنفيديا، انخفاضا في أسهمها. ويعد هذا مؤشرا على القلق المتزايد من قدرة الشركات الصينية على التنافس بفاعلية في قطاع الذكاء الاصطناعي.
بعد إطلاق ""تشات جي بي تي"" في أواخر عام 2022، تسابقت شركات صينية لتطوير تطبيقات مشابهة، لكن المحاولات الأولى لم تحقق نجاحا كبيرا، خاصة مع خيبة الأمل التي رافقت إطلاق تطبيق مشابه من شركة بايدو الصينية.
ومع ذلك، نجح تطبيق ديب سيك في تغيير هذا التصور. وأوضحت الشركة أن النموذجين الرئيسيين للتطبيق، ""ديب سيك-في3"" و""ديب سيك-آر1""، يتمتعان بمستوى تقني مماثل أو أفضل من النماذج المتقدمة لشركتي أوبن.إيه.آي وميتا، وبكلفة تطوير أقل بـ20 إلى 50 مرة.
وأشارت الشركة إلى أن تدريب النموذج ""ديب سيك-في3"" باستخدام شرائح إنفيديا ""إتش-800"" كلف أقل من ستة ملايين دولار. لكن محللين في شركة بيرنشتاين أبدوا شكوكا حول هذه التصريحات، مشيرين إلى أن التكلفة الحقيقية قد تكون أعلى بكثير.
وديب سيك هي شركة ناشئة مقرها مدينة هانغتشو الصينية. أسسها ليانغ وينفينغ، وهو شريك مؤسس لصندوق التحوط ""هاي فلاير"". وأعلن الصندوق في عام 2023 عن تخصيص موارد كبيرة لتطوير تقنيات الذكاء العام الاصطناعي، وهو ما أدى لاحقا إلى تأسيس الشركة.
ووفقا للبيانات الصينية، يمتلك صندوق ""هاي فلاير"" حصة كبيرة في الشركة، كما يملك براءات اختراع تتعلق بالرقائق المستخدمة في تدريب نماذج الذكاء الاصطناعي. ويعمل الصندوق من المبنى ذاته الذي يضم مقر شركة ديب سيك، ما يعكس التكامل بين الطرفين.
وفي 20 كانون الثاني/يناير 2025، تزامنا مع إطلاق النموذج ""ديب سيك-آر1""، شارك ليانغ في ندوة مغلقة مع رئيس الوزراء الصيني لي تشيانغ. واعتبرت هذه المشاركة إشارة ضمنية على أهمية التطبيق في تحقيق أهداف الحكومة الصينية، خاصة فيما يتعلق بمواجهة القيود الأمريكية على تصدير التكنولوجيا.
وتسعى بكين من خلال دعم هذه المشاريع إلى تعزيز الاكتفاء الذاتي في القطاعات الاستراتيجية، بما فيها الذكاء الاصطناعي. ويذكر أن رئيس شركة بايدو روبن لي حضر ندوة مشابهة العام الماضي، ما يشير إلى التوجه الصيني نحو دعم الابتكارات التكنولوجية الوطنية.","
                                        أطلقت شركة ديب سيك الصينية تطبيق ذكاء اصطناعي ينافس تطبيقات أمريكية رائدة مثل ""تشات جي بي تي""، بتكلفة منخفضة تهدد هيمنة الشركات الأمريكية. وتصدر التطبيق متجر أبل في الولايات المتحدة، ما أثار جدلا حول قدرات الشركات الصينية ودعم بكين للتقنيات الوطنية. بينما أثارت تكاليف تطويره شكوكا من محللين أمريكيين. بدوره اعتبر الرئيس الأمريكي دونالد ترامب التطبيق الصيني بمثابة ""جرس إنذار"" للولايات المتحدة.                ",https://www.france24.com/ar/%D9%85%D8%AC%D8%AA%D9%85%D8%B9/20250128-%D8%AF%D9%8A%D8%A8-%D8%B3%D9%8A%D9%83-%D8%AA%D8%B7%D8%A8%D9%8A%D9%82-%D8%B5%D9%8A%D9%86%D9%8A-%D9%8A%D8%BA%D9%8A%D8%B1-%D9%85%D8%B9%D8%A7%D8%AF%D9%84%D8%A9-%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A-%D8%A7%D9%84%D8%B9%D8%A7%D9%84%D9%85%D9%8A-%D9%88%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D9%8A%D8%B9%D8%AA%D8%A8%D8%B1%D9%87-%D8%AC%D8%B1%D8%B3-%D8%A5%D9%86%D8%B0%D8%A7%D8%B1,28/01/2025 - 02:21,"

                                    مجتمع
                            "
10,France 24,الاتحاد الأوروبي يقرر تخفيف عقوباته عن سوريا.. ولكن؟,,"
                                                اتفق وزراء خارجية الاتحاد الأوروبي الإثنين على ""خريطة طريق"" لتخفيف العقوبات عن سوريا والتي فرضت في عهد بشار الأسد بعد اندلاع الانتفاضة السورية عام 2011 والقمع الحكومي لها.                     ",https://www.france24.com/ar/%D9%81%D9%8A%D8%AF%D9%8A%D9%88/20250128-%D8%A7%D9%84%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF-%D8%A7%D9%84%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D9%8A-%D9%8A%D9%82%D8%B1%D8%B1-%D8%AA%D8%AE%D9%81%D9%8A%D9%81-%D8%B9%D9%82%D9%88%D8%A8%D8%A7%D8%AA%D9%87-%D8%B9%D9%86-%D8%B3%D9%88%D8%B1%D9%8A%D8%A7-%D9%88%D9%84%D9%83%D9%86,28/01/2025 - 19:06,"

                                    الشرق الأوسط
                            "
